parent_pn,child_pn,qty_per,find_number,from_serial,to_serial
SATURN_V_VEHICLE,S_IC_STAGE,1,100,SA501,
SATURN_V_VEHICLE,S_II_STAGE,1,200,SA501,
SATURN_V_VEHICLE,S_IVB_STAGE,1,300,SA501,
SATURN_V_VEHICLE,APOLLO_CSM,1,400,SA501,
SATURN_V_VEHICLE,LUNAR_MODULE,1,500,SA505,
SATURN_V_VEHICLE,INTERSTAGE,2,600,SA501,
SATURN_V_VEHICLE,FAIRINGS,1,700,SA501,
S_IC_STAGE,F1_ENGINE,5,100,SA501,
S_IC_STAGE,S_IC_STRUCTURE,1,200,SA501,
S_IC_STAGE,PROPELLANT_TANK,2,300,SA501,
S_IC_STAGE,AVIONICS_PACKAGE,1,400,SA501,
S_IC_STAGE,UMBILICAL_TOWER,1,500,SA501,
S_II_STAGE,J2_ENGINE,5,100,SA501,
S_II_STAGE,S_II_STRUCTURE,1,200,SA501,
S_II_STAGE,PROPELLANT_TANK,2,300,SA501,
S_II_STAGE,AVIONICS_PACKAGE,1,400,SA501,
S_IVB_STAGE,J2_ENGINE,1,100,SA501,
S_IVB_STAGE,S_IVB_STRUCTURE,1,200,SA501,
S_IVB_STAGE,PROPELLANT_TANK,1,300,SA501,
S_IVB_STAGE,AVIONICS_PACKAGE,1,400,SA501,
APOLLO_CSM,COMMAND_MODULE,1,100,CSM001,
APOLLO_CSM,SERVICE_MODULE,1,200,CSM001,
APOLLO_CSM,SPS_ENGINE,1,300,CSM001,
APOLLO_CSM,AVIONICS_PACKAGE,1,400,CSM001,
LUNAR_MODULE,LM_ASCENT_STAGE,1,100,LM001,
LUNAR_MODULE,LM_DESCENT_STAGE,1,200,LM001,
COMMAND_MODULE,HEAT_SHIELD,1,100,CSM001,
COMMAND_MODULE,PARACHUTE_SYSTEM,1,200,CSM001,
COMMAND_MODULE,LIFE_SUPPORT,1,300,CSM001,
COMMAND_MODULE,REACTION_CONTROL,2,400,CSM001,
SERVICE_MODULE,PROPELLANT_TANK,4,100,CSM001,
SERVICE_MODULE,REACTION_CONTROL,4,200,CSM001,
LM_ASCENT_STAGE,ASCENT_ENGINE,1,100,LM001,
LM_ASCENT_STAGE,REACTION_CONTROL,4,200,LM001,
LM_ASCENT_STAGE,LIFE_SUPPORT,1,300,LM001,
LM_DESCENT_STAGE,DESCENT_ENGINE,1,100,LM001,
LM_DESCENT_STAGE,REACTION_CONTROL,4,200,LM001,
F1_ENGINE,F1_TURBOPUMP,1,100,SA501,
F1_ENGINE,COMBUSTION_CHAMBER,1,200,SA501,
F1_ENGINE,NOZZLE_ASSEMBLY,1,300,SA501,
F1_ENGINE,VALVE_MAIN,6,400,SA501,
F1_ENGINE,INJECTOR_HEAD,1,500,SA501,
J2_ENGINE,J2_TURBOPUMP,1,100,SA501,
J2_ENGINE,COMBUSTION_CHAMBER,1,200,SA501,
J2_ENGINE,NOZZLE_ASSEMBLY,1,300,SA501,
J2_ENGINE,VALVE_MAIN,4,400,SA501,
J2_ENGINE,INJECTOR_HEAD,1,500,SA501,
SPS_ENGINE,SPS_TURBOPUMP,1,100,CSM001,
SPS_ENGINE,COMBUSTION_CHAMBER,1,200,CSM001,
SPS_ENGINE,NOZZLE_ASSEMBLY,1,300,CSM001,
SPS_ENGINE,VALVE_MAIN,2,400,CSM001,
DESCENT_ENGINE,COMBUSTION_CHAMBER,1,100,LM001,
DESCENT_ENGINE,NOZZLE_ASSEMBLY,1,200,LM001,
DESCENT_ENGINE,VALVE_MAIN,3,300,LM001,
ASCENT_ENGINE,COMBUSTION_CHAMBER,1,100,LM001,
ASCENT_ENGINE,NOZZLE_ASSEMBLY,1,200,LM001,
ASCENT_ENGINE,VALVE_MAIN,2,300,LM001,
F1_TURBOPUMP,SEAL_KIT,3,100,SA501,
F1_TURBOPUMP,O_RING_LARGE,8,200,SA501,
F1_TURBOPUMP,O_RING_SMALL,16,300,SA501,
F1_TURBOPUMP,BOLT_M12,24,400,SA501,
J2_TURBOPUMP,SEAL_KIT,2,100,SA501,
J2_TURBOPUMP,O_RING_LARGE,6,200,SA501,
J2_TURBOPUMP,O_RING_SMALL,12,300,SA501,
J2_TURBOPUMP,BOLT_M12,18,400,SA501,
SPS_TURBOPUMP,SEAL_KIT,2,100,CSM001,
SPS_TURBOPUMP,O_RING_LARGE,4,200,CSM001,
SPS_TURBOPUMP,BOLT_M16,12,300,CSM001,
COMBUSTION_CHAMBER,SEAL_KIT,2,100,SA501,
COMBUSTION_CHAMBER,O_RING_LARGE,4,200,SA501,
COMBUSTION_CHAMBER,BOLT_M16,12,300,SA501,
NOZZLE_ASSEMBLY,SEAL_KIT,1,100,SA501,
NOZZLE_ASSEMBLY,GASKET_SET,2,200,SA501,
NOZZLE_ASSEMBLY,BOLT_M12,8,300,SA501,
VALVE_MAIN,O_RING_SMALL,3,100,SA501,
VALVE_MAIN,BOLT_M12,6,200,SA501,
INJECTOR_HEAD,O_RING_LARGE,5,100,SA501,
INJECTOR_HEAD,BOLT_M16,10,200,SA501,
REACTION_CONTROL,VALVE_MAIN,4,100,SA501,
REACTION_CONTROL,WIRING_HARNESS,1,200,SA501,
AVIONICS_PACKAGE,WIRING_HARNESS,5,100,SA501,
AVIONICS_PACKAGE,CABLE_ASSEMBLY,10,200,SA501,
LIFE_SUPPORT,WIRING_HARNESS,3,100,SA501,
LIFE_SUPPORT,CABLE_ASSEMBLY,5,200,SA501,
PARACHUTE_SYSTEM,WIRING_HARNESS,2,100,SA501,
PARACHUTE_SYSTEM,CABLE_ASSEMBLY,3,200,SA501,
