part_number,type,identifier,location,quantity,receipt_date,status
SPS_ENGINE,serial,SPS_001,DOWNEY,1,1969-04-01,Available
SPS_TURBOPUMP,serial,SPSTP_001,DOWNEY,1,1969-03-25,Available
SPS_NOZZLE,lot,SPS_NOZZLE_LOT_001,DOWNEY,3,1969-03-20,Available
RCS_VALVE,lot,RCS_VALVE_LOT_001,DOWNEY,50,1969-03-15,Available
CM_STRUCTURE,serial,CM_STRUCT_001,DOWNEY,1,1969-03-30,Available
SM_STRUCTURE,serial,SM_STRUCT_001,DOWNEY,1,1969-04-02,Available
HEAT_SHIELD,serial,HS_001,DOWNEY,1,1969-03-28,Available
PARACHUTE_SYSTEM,serial,PARA_001,DOWNEY,1,1969-04-05,Available
APOLLO_AVIONICS,serial,AGC_001,CAMBRIDGE,1,1969-03-10,Available
LIFE_SUPPORT,serial,ECS_001,HAMILTON,1,1969-03-18,Available
