part_number,type,identifier,location,quantity,receipt_date,status
F1_ENGINE,serial,F1_001,MICHOUD,1,1969-03-01,Available
F1_ENGINE,serial,F1_002,MICHOUD,1,1969-03-05,Available
F1_ENGINE,serial,F1_003,STENNIS,1,1969-03-10,Available
J2_ENGINE,serial,J2_001,CANOGA_PARK,1,1969-02-15,Available
J2_ENGINE,serial,J2_002,CANOGA_PARK,1,1969-03-20,Available
F1_TURBOPUMP,serial,F1TP_001,MICHOUD,1,1969-02-20,Available
F1_TURBOPUMP,serial,F1TP_002,MICHOUD,1,1969-02-25,Available
J2_TURBOPUMP,serial,J2TP_001,CANOGA_PARK,1,1969-03-15,Available
COMBUSTION_CHAMBER,serial,CC_001,MICHOUD,1,1969-02-10,Available
COMBUSTION_CHAMBER,serial,CC_002,MICHOUD,1,1969-02-12,Available
COMBUSTION_CHAMBER,serial,CC_003,CANOGA_PARK,1,1969-03-01,Available
NOZZLE_ASSEMBLY,lot,NOZZLE_LOT_001,MICHOUD,8,1969-01-15,Available
VALVE_MAIN,lot,VALVE_LOT_001,MICHOUD,50,1969-01-20,Available
VALVE_MAIN,lot,VALVE_LOT_002,CANOGA_PARK,25,1969-02-01,Available
INJECTOR_HEAD,lot,INJ_LOT_001,MICHOUD,12,1969-02-05,Available
THRUST_STRUCTURE,serial,TS_001,MICHOUD,1,1969-01-30,Available
TANK_STRUCTURE,serial,TANK_001,MICHOUD,1,1969-02-01,Available
TANK_STRUCTURE,serial,TANK_002,CANOGA_PARK,1,1969-02-03,Available
AVIONICS_PACKAGE,serial,AVIONICS_001,HUNTSVILLE,1,1969-02-08,Available
