parent_pn,child_pn,qty_per,find_number,from_serial,to_serial
APOLLO_CSM,COMMAND_MODULE,1,100,CSM001,
APOLLO_CSM,SERVICE_MODULE,1,200,CSM001,
APOLLO_CSM,SPS_ENGINE,1,300,CSM001,
APOLLO_CSM,APOLLO_AVIONICS,1,400,CSM001,
COMMAND_MODULE,CM_STRUCTURE,1,100,CSM001,
COMMAND_MODULE,HEAT_SHIELD,1,200,CSM001,
COMMAND_MODULE,PARACHUTE_SYSTEM,1,300,CSM001,
COMMAND_MODULE,REACTION_CONTROL,4,400,CSM001,
COMMAND_MODULE,LIFE_SUPPORT,1,500,CSM001,
SERVICE_MODULE,SM_STRUCTURE,1,100,CSM001,
SERVICE_MODULE,PROPELLANT_TANK,4,200,CSM001,
SERVICE_MODULE,REACTION_CONTROL,16,300,CSM001,
SPS_ENGINE,SPS_TURBOPUMP,1,100,CSM001,
SPS_ENGINE,SPS_NOZZLE,1,200,CSM001,
SPS_ENGINE,RCS_VALVE,4,300,CSM001,
PROPELLANT_TANK,RCS_VALVE,2,100,CSM001,
REACTION_CONTROL,RCS_VALVE,1,100,CSM001,
