part_number,type,identifier,location,quantity,receipt_date,status
F1_ENGINE,serial,F1_001,MICHOUD,1,1968-09-15,Available
F1_ENGINE,serial,F1_002,MICHOUD,1,1968-10-20,Available
F1_ENGINE,serial,F1_003,MICHOUD,1,1968-11-25,Available
J2_ENGINE,serial,J2_001,CANOGA_PARK,1,1968-08-10,Available
J2_ENGINE,serial,J2_002,CANOGA_PARK,1,1968-09-05,Available
J2_ENGINE,serial,J2_003,CANOGA_PARK,1,1968-10-15,Available
APOLLO_CSM,serial,CSM_106,DOWNEY,1,1968-12-01,Available
APOLLO_CSM,serial,CSM_107,DOWNEY,1,1969-01-15,Available
LUNAR_MODULE,serial,LM_5,GRUMMAN,1,1969-02-10,Available
LUNAR_MODULE,serial,LM_6,GRUMMAN,1,1969-03-15,Available
S_IC_STRUCTURE,serial,S_IC_SA506,MICHOUD,1,1968-10-05,Available
S_II_STRUCTURE,serial,S_II_SA506,SEAL_BEACH,1,1968-11-20,Available
S_IVB_STRUCTURE,serial,S_IVB_SA506,HUNTINGTON_BEACH,1,1968-12-10,Available
PROPELLANT_TANK,lot,TANK_LOT_001,MICHOUD,10,1968-07-15,Available
PROPELLANT_TANK,lot,TANK_LOT_002,SEAL_BEACH,8,1968-08-20,Available
AVIONICS_PACKAGE,serial,IU_SA506,HUNTSVILLE,1,1969-01-05,Available
HEAT_SHIELD,serial,HS_CM107,DOWNEY,1,1968-11-30,Available
PARACHUTE_SYSTEM,serial,PARA_CM107,DOWNEY,1,1969-01-20,Available
LIFE_SUPPORT,serial,ECS_CM107,HAMILTON,1,1968-12-15,Available
REACTION_CONTROL,lot,RCS_LOT_001,MARQUARDT,20,1968-09-10,Available
F1_TURBOPUMP,serial,F1TP_001,MICHOUD,3,1968-08-15,Available
J2_TURBOPUMP,serial,J2TP_001,CANOGA_PARK,4,1968-07-25,Available
SPS_TURBOPUMP,serial,SPSTP_001,DOWNEY,2,1968-10-30,Available
COMBUSTION_CHAMBER,lot,CC_LOT_001,MICHOUD,8,1968-06-10,Available
COMBUSTION_CHAMBER,lot,CC_LOT_002,CANOGA_PARK,6,1968-07-05,Available
NOZZLE_ASSEMBLY,lot,NOZZLE_LOT_001,CANOGA_PARK,10,1968-07-20,Available
VALVE_MAIN,lot,VALVE_LOT_001,KENNEDY,100,1968-05-15,Available
INJECTOR_HEAD,lot,INJ_LOT_001,MICHOUD,15,1968-06-20,Available
INTERSTAGE,serial,INTERSTAGE_SA506_1,MICHOUD,1,1968-11-10,Available
INTERSTAGE,serial,INTERSTAGE_SA506_2,SEAL_BEACH,1,1968-12-05,Available
FAIRINGS,serial,FAIRINGS_SA506,KENNEDY,1,1969-02-01,Available
UMBILICAL_TOWER,serial,UT_SA506,KENNEDY,1,1969-01-10,Available
SEAL_KIT,lot,SEAL_LOT_001,KENNEDY,500,1968-04-01,Available
SEAL_KIT,lot,SEAL_LOT_002,MICHOUD,300,1968-05-10,Available
GASKET_SET,lot,GASKET_LOT_001,KENNEDY,800,1968-04-15,Available
BOLT_M12,lot,BOLT_M12_LOT_001,KENNEDY,10000,1968-03-01,Available
BOLT_M16,lot,BOLT_M16_LOT_001,KENNEDY,5000,1968-03-15,Available
O_RING_LARGE,lot,ORING_L_LOT_001,KENNEDY,2000,1968-04-20,Available
O_RING_SMALL,lot,ORING_S_LOT_001,KENNEDY,3000,1968-04-25,Available
WIRING_HARNESS,lot,WIRE_LOT_001,HUNTSVILLE,50,1968-08-05,Available
CABLE_ASSEMBLY,lot,CABLE_LOT_001,HUNTSVILLE,100,1968-08-15,Available
