parent_pn,child_pn,qty_per,find_number,from_serial,to_serial
SATURN_V,S_IC_STAGE,1,100,SA501,
SATURN_V,S_II_STAGE,1,200,SA501,
SATURN_V,S_IVB_STAGE,1,300,SA501,
SATURN_V,AVIONICS_PACKAGE,1,400,SA501,
S_IC_STAGE,F1_ENGINE,5,100,SA501,
S_IC_STAGE,THRUST_STRUCTURE,1,200,SA501,
S_IC_STAGE,TANK_STRUCTURE,4,300,SA501,
S_II_STAGE,J2_ENGINE,5,100,SA501,
S_II_STAGE,TANK_STRUCTURE,2,200,SA501,
S_IVB_STAGE,J2_ENGINE,1,100,SA501,
S_IVB_STAGE,TANK_STRUCTURE,1,200,SA501,
F1_ENGINE,F1_TURBOPUMP,1,100,SA501,SA507
F1_ENGINE,F1_TURBOPUMP,1,100,SA508,
F1_ENGINE,COMBUSTION_CHAMBER,1,200,SA501,
F1_ENGINE,NOZZLE_ASSEMBLY,1,300,SA501,
F1_ENGINE,VALVE_MAIN,6,400,SA501,
F1_ENGINE,INJECTOR_HEAD,1,500,SA501,
J2_ENGINE,J2_TURBOPUMP,1,100,SA501,SA509
J2_ENGINE,J2_TURBOPUMP,1,100,SA510,
J2_ENGINE,COMBUSTION_CHAMBER,1,200,SA501,
J2_ENGINE,NOZZLE_ASSEMBLY,1,300,SA501,
J2_ENGINE,VALVE_MAIN,4,400,SA501,
J2_ENGINE,INJECTOR_HEAD,1,500,SA501,
